"No.","Time","Source","Destination","Protocol","Length","Info","capture"
"8137","22.574640","host","1.2.0","USB","36","URB_CONTROL in",""
"8138","22.574967","1.2.1","host","USB","28","URB_BULK in","00"
"8139","22.574975","host","1.2.1","USB","27","URB_BULK in",""
"8140","22.576008","1.2.1","host","USB","28","URB_BULK in","00"
"8141","22.576015","host","1.2.1","USB","27","URB_BULK in",""
"8142","22.576309","1.2.0","host","USB","47","URB_CONTROL in",""
"8143","22.577064","1.2.1","host","USB","28","URB_BULK in","fd"
"8144","22.577082","host","1.2.1","USB","27","URB_BULK in",""
"8145","22.577574","host","1.2.0","USB","36","URB_CONTROL in",""
"8146","22.577589","host","1.2.0","USB","36","URB_CONTROL in",""
"8147","22.578084","1.2.1","host","USB","28","URB_BULK in","f7"
"8148","22.578093","host","1.2.1","USB","27","URB_BULK in",""
"8149","22.578632","host","1.2.0","USB","36","URB_CONTROL out",""
"8150","22.579311","1.2.0","host","USB","47","URB_CONTROL in",""
"8151","22.582317","1.2.0","host","USB","47","URB_CONTROL in",""
"8152","22.585323","1.2.0","host","USB","47","URB_CONTROL in",""
"8153","22.588318","1.2.0","host","USB","47","URB_CONTROL in",""
"8154","22.591321","1.2.0","host","USB","29","URB_CONTROL in",""
"8155","22.594320","1.2.0","host","USB","47","URB_CONTROL in",""
"8156","22.596318","1.2.0","host","USB","28","URB_CONTROL out",""
"8157","22.596398","host","1.2.1","USB","39","URB_BULK out","7bff200010003001000023ff"
"8158","22.596455","1.2.1","host","USB","27","URB_BULK out",""
"8159","22.596509","host","1.2.1","USB","41","URB_BULK out","02080e0005000000023200000000"
"8160","22.596560","1.2.1","host","USB","27","URB_BULK out",""
"8161","22.596611","host","1.2.1","USB","29","URB_BULK out","e8c5"
"8162","22.596649","1.2.1","host","USB","27","URB_BULK out",""
"8163","22.609603","host","1.2.0","USB","36","URB_CONTROL in",""
"8164","22.611329","1.2.0","host","USB","47","URB_CONTROL in",""
"8167","22.641667","host","1.2.0","USB","36","URB_CONTROL in",""
"8168","22.643325","1.2.0","host","USB","47","URB_CONTROL in",""
"8175","22.667502","1.2.1","host","USB","28","URB_BULK in","7a"
"8176","22.667526","host","1.2.1","USB","27","URB_BULK in",""
"8177","22.668554","1.2.1","host","USB","28","URB_BULK in","ff"
"8178","22.668583","host","1.2.1","USB","27","URB_BULK in",""
"8179","22.669578","1.2.1","host","USB","28","URB_BULK in","20"
"8180","22.669604","host","1.2.1","USB","27","URB_BULK in",""
"8181","22.670619","1.2.1","host","USB","28","URB_BULK in","80"
"8182","22.670637","host","1.2.1","USB","27","URB_BULK in",""
"8183","22.671654","1.2.1","host","USB","28","URB_BULK in","06"
"8184","22.671671","host","1.2.1","USB","27","URB_BULK in",""
"8185","22.672700","1.2.1","host","USB","28","URB_BULK in","00"
"8186","22.672728","host","1.2.1","USB","27","URB_BULK in",""
"8187","22.673722","host","1.2.0","USB","36","URB_CONTROL in",""
"8188","22.673733","1.2.1","host","USB","28","URB_BULK in","30"
"8189","22.673747","host","1.2.0","USB","36","URB_CONTROL in",""
"8190","22.673750","host","1.2.1","USB","27","URB_BULK in",""
"8191","22.674771","1.2.1","host","USB","28","URB_BULK in","01"
"8192","22.674798","host","1.2.1","USB","27","URB_BULK in",""
"8193","22.675321","1.2.0","host","USB","29","URB_CONTROL in",""
"8196","22.675811","1.2.1","host","USB","28","URB_BULK in","00"
"8197","22.675838","host","1.2.1","USB","27","URB_BULK in",""
"8198","22.676850","1.2.1","host","USB","28","URB_BULK in","00"
"8199","22.676879","host","1.2.1","USB","27","URB_BULK in",""
"8200","22.677747","host","1.2.0","USB","36","URB_CONTROL in",""
"8201","22.677783","host","1.2.0","USB","36","URB_CONTROL in",""
"8202","22.677799","host","1.2.0","USB","36","URB_CONTROL in",""
"8203","22.677877","1.2.1","host","USB","28","URB_BULK in","2e"
"8204","22.677885","host","1.2.1","USB","27","URB_BULK in",""
"8205","22.678318","1.2.0","host","USB","47","URB_CONTROL in",""
"8206","22.678924","1.2.1","host","USB","28","URB_BULK in","7f"
"8207","22.678942","host","1.2.1","USB","27","URB_BULK in",""
"8208","22.679947","1.2.1","host","USB","28","URB_BULK in","02"
"8209","22.679964","host","1.2.1","USB","27","URB_BULK in",""
"8210","22.680980","1.2.1","host","USB","28","URB_BULK in","08"
"8211","22.680998","host","1.2.1","USB","27","URB_BULK in",""
"8212","22.681317","1.2.0","host","USB","47","URB_CONTROL in",""
"8213","22.682028","1.2.1","host","USB","28","URB_BULK in","00"
"8214","22.682046","host","1.2.1","USB","27","URB_BULK in",""
"8215","22.683071","1.2.1","host","USB","28","URB_BULK in","00"
"8216","22.683097","host","1.2.1","USB","27","URB_BULK in",""
"8219","22.684107","1.2.1","host","USB","28","URB_BULK in","fd"
"8220","22.684135","host","1.2.1","USB","27","URB_BULK in",""
"8221","22.684315","1.2.0","host","USB","47","URB_CONTROL in",""
"8222","22.685145","1.2.1","host","USB","28","URB_BULK in","f7"
"8223","22.685164","host","1.2.1","USB","27","URB_BULK in",""
"8224","22.685778","host","1.2.0","USB","36","URB_CONTROL out",""
"8225","22.687317","1.2.0","host","USB","47","URB_CONTROL in",""
"8226","22.689315","1.2.0","host","USB","28","URB_CONTROL out",""
"8227","22.689369","host","1.2.1","USB","39","URB_BULK out","7bff20000600310100002cff"
"8228","22.689425","1.2.1","host","USB","27","URB_BULK out",""
"8229","22.689466","host","1.2.1","USB","31","URB_BULK out","01080c00"
"8230","22.689513","1.2.1","host","USB","27","URB_BULK out",""
"8231","22.689549","host","1.2.1","USB","29","URB_BULK out","f2f7"
"8232","22.689586","1.2.1","host","USB","27","URB_BULK out",""
"8233","22.689759","host","1.2.0","USB","36","URB_CONTROL in",""
"8236","22.692327","1.2.0","host","USB","47","URB_CONTROL in",""
"8241","22.711326","1.2.1","host","USB","28","URB_BULK in","7a"
"8242","22.711383","host","1.2.1","USB","27","URB_BULK in",""
"8243","22.712360","1.2.1","host","USB","28","URB_BULK in","ff"
"8244","22.712382","host","1.2.1","USB","27","URB_BULK in",""
"8245","22.713378","1.2.1","host","USB","28","URB_BULK in","20"
"8246","22.713404","host","1.2.1","USB","27","URB_BULK in",""
"8247","22.714411","1.2.1","host","USB","28","URB_BULK in","80"
"8248","22.714438","host","1.2.1","USB","27","URB_BULK in",""
"8251","22.715455","1.2.1","host","USB","28","URB_BULK in","10"
"8252","22.715520","host","1.2.1","USB","27","URB_BULK in",""
"8253","22.716502","1.2.1","host","USB","28","URB_BULK in","00"
"8254","22.716542","host","1.2.1","USB","27","URB_BULK in",""
"8255","22.717527","1.2.1","host","USB","28","URB_BULK in","31"
"8256","22.717556","host","1.2.1","USB","27","URB_BULK in",""
